COMPONENT NAME,COMPONENT TYPE,CH_ID,ENUM_NAME,INDETIFIER,VALUE,COMMENT
sendBuffComp,SendBuff,85,ActiveState,SEND_IDLE,0,
sendBuffComp,SendBuff,85,ActiveState,SEND_ACTIVE,1,
